分类: 📺央视频道, 名称: CETV-2, 有效: 1, IPv4: 30, IPv6: 0, 最小延迟: 459 ms, 最高速率: 5.82 M/s, 平均速率: 5.82 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 风云音乐, 有效: 4, IPv4: 14, IPv6: 0, 最小延迟: 543 ms, 最高速率: 8.37 M/s, 平均速率: 6.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 288 ms, 最高速率: 2.77 M/s, 平均速率: 1.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 555 ms, 最高速率: 8.33 M/s, 平均速率: 4.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 4, IPv4: 10, IPv6: 0, 最小延迟: 346 ms, 最高速率: 8.14 M/s, 平均速率: 5.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 4, IPv4: 13, IPv6: 0, 最小延迟: 644 ms, 最高速率: 5.98 M/s, 平均速率: 2.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 3, IPv4: 6, IPv6: 0, 最小延迟: 465 ms, 最高速率: 6.96 M/s, 平均速率: 3.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 电视指南, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 5, IPv4: 13, IPv6: 0, 最小延迟: 511 ms, 最高速率: 8.69 M/s, 平均速率: 6.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云足球, 有效: 3, IPv4: 6, IPv6: 0, 最小延迟: 473 ms, 最高速率: 8.65 M/s, 平均速率: 6.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 世界地理, 有效: 4, IPv4: 6, IPv6: 0, 最小延迟: 512 ms, 最高速率: 8.94 M/s, 平均速率: 8.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 6, IPv4: 47, IPv6: 0, 最小延迟: 213 ms, 最高速率: 8.60 M/s, 平均速率: 6.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 514 ms, 最高速率: 8.22 M/s, 平均速率: 8.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 312 ms, 最高速率: 8.62 M/s, 平均速率: 5.47 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 508 ms, 最高速率: 9.07 M/s, 平均速率: 4.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 香港卫视, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 10448 ms, 最高速率: 0.32 M/s, 平均速率: 0.32 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 341 ms, 最高速率: 17.73 M/s, 平均速率: 8.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 544 ms, 最高速率: 17.87 M/s, 平均速率: 9.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 561 ms, 最高速率: 13.47 M/s, 平均速率: 5.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 1102 ms, 最高速率: 1.55 M/s, 平均速率: 1.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 498 ms, 最高速率: 8.28 M/s, 平均速率: 6.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 346 ms, 最高速率: 6.16 M/s, 平均速率: 4.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 453 ms, 最高速率: 6.04 M/s, 平均速率: 5.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 488 ms, 最高速率: 9.18 M/s, 平均速率: 7.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 32, IPv6: 0, 最小延迟: 470 ms, 最高速率: 7.85 M/s, 平均速率: 7.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 28, IPv6: 0, 最小延迟: 536 ms, 最高速率: 8.51 M/s, 平均速率: 7.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 194 ms, 最高速率: 4.15 M/s, 平均速率: 2.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 400 ms, 最高速率: 8.53 M/s, 平均速率: 6.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 490 ms, 最高速率: 8.65 M/s, 平均速率: 7.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 556 ms, 最高速率: 8.87 M/s, 平均速率: 6.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 434 ms, 最高速率: 7.92 M/s, 平均速率: 6.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 34, IPv6: 0, 最小延迟: 500 ms, 最高速率: 8.70 M/s, 平均速率: 7.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 有效: 4, IPv4: 31, IPv6: 0, 最小延迟: 487 ms, 最高速率: 8.81 M/s, 平均速率: 6.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 309 ms, 最高速率: 16.37 M/s, 平均速率: 4.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 30, IPv6: 0, 最小延迟: 557 ms, 最高速率: 7.99 M/s, 平均速率: 5.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 34, IPv6: 0, 最小延迟: 471 ms, 最高速率: 7.35 M/s, 平均速率: 3.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
